id,category,price,title,vendor,average_rating,review_length,review_count
96,Doohickey,69.881,Heavy-Duty Silk Car,Bernhard-Grady,4.0,143.33333333333334,3.0
97,Doohickey,74.9455,Durable Copper Clock,"Halvorson, Lockman and Ruecker",4.0,179.25,4.0
98,Gizmo,74.9455,Mediocre Silk Bottle,Pacocha-Volkman,4.5,160.0,4.0
99,Gadget,45.2232,Enormous Plastic Coat,Kuhlman-Kuphal,3.3333333333333335,138.0,6.0
100,Gizmo,45.2232,Lightweight Steel Knife,"Legros, Lynch and Howell",4.0,184.4,5.0
101,Gadget,93.2166,Durable Cotton Bench,Gutmann-Breitenberg,3.6666666666666665,188.33333333333334,9.0
102,Gadget,31.3614,Lightweight Granite Hat,Dominic Mann Group,4.0,184.0,1.0
103,Widget,31.3614,Rustic Silk Pants,Trantow-Bartell,,,
104,Widget,70.9614,Sleek Leather Toucan,Senger-Doyle,,,
105,Gadget,35.149,Fantastic Wool Shirt,Jerrod McLaughlin LLC,4.0,187.6,5.0
106,Doohickey,35.149,Fantastic Steel Knife,Friesen-Langworth,4.333333333333333,145.33333333333334,3.0
107,Gadget,33.3966,Lightweight Wool Plate,Dora Fay and Sons,4.0,176.4,5.0
108,Gadget,33.3966,Practical Silk Computer,Aufderhar-Boehm,4.0,196.77777777777777,9.0
109,Widget,79.3666,Intelligent Iron Shirt,Price Kuhic Inc,,,
110,Widget,37.0178,Enormous Marble Gloves,Stanton-Fritsch,,,
111,Gadget,37.0178,Ergonomic Rubber Bench,"Hane, Hamill and Jerde",3.8181818181818183,163.63636363636363,11.0
112,Doohickey,27.5529,Small Wool Wallet,Ledner-Watsica,4.142857142857143,167.57142857142858,7.0
113,Gadget,73.6515,Sleek Leather Table,"Ruecker, Carter and Ortiz",3.3,154.3,10.0
114,Doohickey,51.9413,Practical Plastic Keyboard,"Wisoky, Pagac and Heaney",4.0,148.33333333333334,3.0
115,Gadget,51.9413,Rustic Silk Knife,Mrs. Eugenia Koelpin and Sons,4.285714285714286,155.71428571428572,7.0
116,Gizmo,76.2832,Aerodynamic Concrete Bench,Denesik-Ortiz,4.2,174.8,5.0
117,Gizmo,36.6832,Small Concrete Knife,Jefferey Volkman LLC,3.5555555555555554,186.22222222222223,9.0
118,Gadget,38.4184,Synergistic Rubber Shoes,Herta Skiles and Sons,3.1666666666666665,199.0,6.0
119,Gadget,28.9588,Gorgeous Linen Keyboard,Alfreda Konopelski II Group,3.6,186.6,5.0
120,Widget,55.668,Heavy-Duty Copper Watch,Jerrell Gulgowski Inc,4.0,147.25,4.0
121,Doohickey,26.9635,Ergonomic Wool Bag,"Wolff, Ebert and Hansen",5.0,227.0,1.0
122,Gizmo,66.5635,Gorgeous Marble Plate,Fisher-Purdy,3.6,160.0,5.0
123,Gizmo,73.9543,Mediocre Wooden Bench,Flatley-Kunde,2.0,185.0,1.0
124,Gizmo,73.9543,Durable Aluminum Bag,Zemlak-Wiegand,4.0,201.33333333333334,9.0
125,Widget,53.598,Aerodynamic Granite Bench,Lon Wiegand DVM and Sons,3.4,229.2,5.0
126,Widget,83.496,Practical Wool Hat,Emmerich-Nienow,4.5,199.0,2.0
127,Widget,89.6534,Practical Bronze Watch,Schamberger-Wehner,4.0,157.0,2.0
128,Gizmo,50.0534,Gorgeous Aluminum Plate,Cale Thompson V and Sons,4.375,183.5,8.0
129,Gizmo,98.7782,Small Marble Knife,"Turner, Kiehn and Schmitt",3.6666666666666665,195.22222222222223,9.0
130,Gizmo,50.0172,Awesome Cotton Shoes,"Kuphal, Friesen and Rowe",4.428571428571429,163.57142857142858,7.0
131,Widget,75.4115,Practical Aluminum Coat,Batz-Schroeder,4.0,208.0,1.0
132,Widget,85.2546,Sleek Steel Table,Marge Effertz Jr. Inc,3.75,172.25,4.0
133,Doohickey,45.6546,Sleek Wool Watch,"Hauck, Ernser and Barton",4.333333333333333,177.66666666666666,3.0
134,Doohickey,28.3282,Practical Paper Bag,"Considine, Bogisich and Bauch",3.8333333333333335,160.5,6.0
135,Gizmo,30.536,Enormous Granite Bottle,Lorenza Mayer Inc,4.0,153.75,4.0
136,Widget,70.136,Mediocre Marble Lamp,"Crona, Block and Homenick",4.875,160.375,8.0
137,Gizmo,45.1817,Ergonomic Granite Bottle,"Morissette, Dare and Schimmel",3.5,236.0,2.0
138,Doohickey,75.9672,Incredible Plastic Watch,Kiel Kassulke Group,4.0,186.16666666666666,12.0
139,Doohickey,51.1851,Lightweight Steel Watch,"Wuckert, Murazik and Ernser",3.2,178.2,5.0
140,Gadget,44.5354,Sleek Copper Watch,Daugherty-Dach,4.142857142857143,192.14285714285714,7.0
141,Doohickey,84.1354,Enormous Cotton Pants,Nikolaus-Hudson,4.0,182.6,10.0
142,Doohickey,46.899,Ergonomic Marble Computer,"Kuphal, Brown and Koss",4.375,175.875,8.0
143,Gizmo,40.7989,Rustic Iron Bench,"McGlynn, Fay and Kertzmann",,,
144,Widget,40.7989,Aerodynamic Bronze Hat,"Schumm, Brown and Wehner",,,
145,Gizmo,40.7989,Awesome Wool Bench,Stark-Bayer,4.4,170.8,5.0
146,Widget,84.0315,Lightweight Wool Computer,Theodora Terry and Sons,4.333333333333333,169.66666666666666,3.0
147,Doohickey,44.4315,Mediocre Wool Toucan,"Bradtke, Wilkinson and Reilly",4.666666666666667,217.5,6.0
148,Gadget,92.6545,Sleek Plastic Shoes,Gail Bergstrom Inc,4.111111111111111,172.11111111111111,9.0
149,Widget,46.1028,Incredible Aluminum Knife,"Padberg, Senger and Williamson",4.181818181818182,167.0,11.0
150,Gadget,85.7028,Synergistic Wool Coat,Morar-Schamberger,3.923076923076923,168.92307692307693,13.0
151,Gizmo,61.0753,Lightweight Leather Bench,"Marquardt, Crooks and Abshire",4.0,168.0,14.0
152,Widget,32.5971,Enormous Aluminum Clock,Thompson-Wolf,3.6,190.2,5.0
153,Gadget,44.5326,Aerodynamic Leather Computer,"Wilkinson, Donnelly and Gulgowski",4.181818181818182,182.54545454545453,11.0
154,Widget,54.5835,Incredible Bronze Wallet,"Hermiston, OHara and Wunsch",4.3125,194.75,16.0
155,Gadget,29.1838,Fantastic Rubber Knife,Demarcus Brakus Inc,4.444444444444445,180.66666666666666,18.0
156,Gadget,20.4105,Heavy-Duty Copper Gloves,"Schinner, Schmitt and Crona",4.5,178.83333333333334,6.0
157,Widget,93.2628,Intelligent Granite Hat,Dooley-Cummings,3.0,247.5,2.0
158,Gizmo,93.2628,Aerodynamic Leather Toucan,Israel Spinka and Sons,4.1,177.2,10.0
159,Widget,23.6868,Aerodynamic Cotton Lamp,"Mueller, Mayert and Johnston",4.3,184.1,10.0
160,Gadget,31.7275,Lightweight Linen Hat,Oran DAmore Inc,5.0,204.0,1.0
161,Doohickey,31.7275,Heavy-Duty Rubber Gloves,"West, Prohaska and Wunsch",4.0,177.66666666666666,6.0
162,Gadget,22.3786,Gorgeous Copper Knife,Connelly-Mitchell,3.3333333333333335,175.33333333333334,3.0
163,Widget,22.3786,Ergonomic Leather Pants,Brittany Mueller Inc,,,
164,Doohickey,61.9786,Sleek Bronze Lamp,Bosco-Breitenberg,4.4,147.6,5.0
165,Gizmo,25.5363,Aerodynamic Copper Knife,"McDermott, Kiehn and Becker",2.5,190.0,2.0
166,Doohickey,25.5363,Rustic Copper Hat,Kuhn-OReilly,4.0,94.0,1.0
167,Doohickey,65.1363,Gorgeous Paper Bag,Prohaska-Quigley,3.0,202.5,4.0
168,Gadget,79.2878,Intelligent Paper Car,Roscoe Oberbrunner Group,,,
169,Doohickey,39.6878,Small Cotton Chair,Kuhlman-McKenzie,4.555555555555555,187.0,9.0
170,Widget,70.0511,Durable Leather Wallet,Ruecker-Jakubowski,4.0,164.14285714285714,7.0
171,Doohickey,70.0511,Ergonomic Iron Watch,Blake Greenfelder Group,4.0,211.66666666666666,3.0
172,Gizmo,81.5768,Practical Aluminum Table,Heathcote-Kirlin,3.857142857142857,160.57142857142858,7.0
173,Gadget,81.5768,Gorgeous Wooden Car,"Upton, Schoen and Streich",4.1,189.3,10.0
174,Gadget,74.4095,Rustic Iron Keyboard,Barrows-Johns,4.4,168.2,5.0
175,Doohickey,78.2165,Fantastic Leather Watch,Lakin-Stroman,,,
176,Widget,38.6165,Enormous Leather Wallet,Mr. Colton Mayer Group,3.6,204.0,5.0
177,Gadget,85.8795,Heavy-Duty Cotton Bottle,Ursula Collins LLC,4.0,183.125,8.0
178,Widget,78.2198,Ergonomic Linen Toucan,Halle Kulas I LLC,4.666666666666667,183.0,3.0
179,Doohickey,45.5494,Incredible Linen Knife,Casper-Schimmel,3.5555555555555554,182.55555555555554,9.0
180,Gadget,45.5494,Lightweight Copper Wallet,Maxime Haley and Sons,4.333333333333333,196.66666666666666,3.0
181,Widget,95.9263,Awesome Steel Toucan,"Berge, Mraz and Sawayn",4.4,186.4,5.0
182,Gadget,56.3263,Practical Silk Bottle,Devonte Gleichner Inc,4.0,127.0,1.0
183,Gizmo,37.7983,Mediocre Aluminum Lamp,"Powlowski, Keebler and Quigley",3.75,174.875,8.0
184,Widget,77.3983,Practical Granite Plate,Gaylord-Lesch,3.6,148.2,5.0
185,Gadget,26.3847,Sleek Marble Table,Cremin-Williamson,,,
186,Gizmo,65.9847,Ergonomic Concrete Lamp,Theodore Hansen Inc,4.2,174.8,5.0
187,Gizmo,65.9847,Fantastic Copper Hat,Janick Harvey LLC,4.25,187.25,4.0
188,Doohickey,22.5849,Synergistic Copper Computer,"Jones, Hayes and Kshlerin",3.5,210.0,2.0
189,Widget,62.1849,Gorgeous Marble Computer,"Marvin, Turcotte and Wisozk",4.333333333333333,191.33333333333334,3.0
190,Gadget,85.7228,Ergonomic Cotton Bag,Delphia Bauch Inc,3.25,215.25,4.0
191,Gadget,85.7228,Heavy-Duty Linen Gloves,"Herman, Gleason and Renner",,,
192,Widget,46.1228,Durable Cotton Shirt,"Grady, Greenfelder and Welch",3.3333333333333335,145.0,3.0
193,Gadget,33.5872,Ergonomic Plastic Bench,Hodkiewicz-Brekke,,,
194,Doohickey,33.5872,Heavy-Duty Rubber Bottle,Rosanna Murazik Inc,3.5,175.75,4.0
195,Gadget,73.1872,Incredible Concrete Watch,Ford Runolfsson Group,5.0,151.0,1.0
196,Widget,46.7641,Heavy-Duty Linen Toucan,Balistreri-Muller,,,
197,Gizmo,46.7641,Aerodynamic Concrete Lamp,Erika Volkman Group,4.666666666666667,162.83333333333334,6.0
198,Gizmo,46.7641,Enormous Copper Shirt,"Considine, Schamberger and Schiller",4.142857142857143,197.0,7.0
199,Widget,76.9533,Mediocre Leather Coat,"Gulgowski, Grimes and Mayer",3.6666666666666665,185.33333333333334,6.0
200,Gadget,48.8026,Intelligent Steel Car,"Pouros, Nitzsche and Mayer",4.0,204.0,6.0
