,coldid,prodid
202,2074,41
203,201,35
204,967,99
205,223,150
206,602,150
207,1718,69
208,647,35
209,1408,11
210,1947,69
211,2046,7
212,687,11
213,836,35
214,550,150
215,1951,69
216,2074,99
217,1718,99
218,762,131
219,1997,11
220,741,41
221,313,7
222,1965,69
223,313,81
224,1168,11
225,550,131
226,386,150
227,201,69
228,967,11
229,332,41
230,762,35
231,313,131
232,1947,199
233,687,35
234,313,99
235,1997,150
236,1951,81
237,2289,81
238,2074,69
239,967,69
240,201,81
241,1718,69
242,1408,41
243,1408,150
244,1965,41
245,1965,41
246,1348,99
247,678,69
248,1350,41
249,597,35
250,1350,81
251,1965,69
252,1951,99
253,1538,131
254,678,131
255,1976,11
256,597,41
257,1930,131
258,1951,199
259,234,69
260,663,35
261,967,99
262,2046,11
263,678,81
264,2251,131
265,762,11
266,201,69
267,1976,81
268,1901,199
269,602,99
270,1976,199
271,2251,69
272,313,7
273,2289,131
274,1965,69
275,597,199
276,741,7
277,836,69
278,2046,35
279,597,35
280,550,199
281,1965,99
282,762,11
283,313,7
284,386,11
285,1901,99
286,550,35
287,1951,81
288,678,131
289,1951,11
290,1947,69
291,647,81
292,201,41
293,2289,99
294,1976,11
295,2046,99
296,741,81
297,550,81
298,647,69
299,2289,41
300,663,35
301,313,150
302,1348,81
303,762,131
304,399,69
305,706,131
306,1718,131
307,1901,69
308,1350,81
309,663,41
310,1901,41
311,399,35
312,706,11
313,1217,150
314,2074,81
315,1168,81
316,1538,131
317,741,35
318,550,11
319,332,41
320,1930,99
321,1825,7
322,313,199
323,2046,199
324,836,99
325,1718,69
326,1997,41
327,1168,81
328,647,131
329,332,35
330,815,11
331,1997,11
332,647,150
333,2046,69
334,1217,11
335,741,41
336,1718,99
337,1718,99
338,1217,199
339,647,41
340,647,99
341,2289,35
342,1976,81
343,1408,11
344,1168,41
345,1350,150
346,201,41
347,2241,35
348,313,69
349,2241,81
350,597,41
351,1168,99
352,678,7
353,313,7
354,386,35
355,1901,35
356,836,7
357,550,99
358,223,7
359,1930,11
360,678,99
361,1538,11
362,1947,81
363,2251,35
364,602,99
365,597,199
366,836,35
367,399,131
368,2241,41
369,762,150
370,967,41
371,706,35
372,741,7
373,1538,150
374,2074,41
375,1408,41
376,687,7
377,2251,99
378,762,99
379,647,35
380,1350,35
381,550,41
382,663,69
383,1168,99
384,815,11
385,550,199
386,332,35
387,741,41
388,1901,7
389,1168,150
390,1825,35
391,2074,150
392,1718,69
393,678,199
394,706,99
395,386,7
396,1217,41
397,332,81
398,967,41
399,550,11
400,663,35
401,1947,41
402,967,199
403,2074,11
404,762,99
405,234,11
406,967,35
407,706,199
408,1538,199
409,1718,131
410,1997,35
411,2046,99
412,762,41
413,1951,69
414,597,81
415,1168,41
416,967,150
417,313,35
418,1718,41
419,762,199
420,1718,131
421,1901,41
422,1947,11
423,1930,41
424,597,69
425,1930,199
426,234,11
427,967,150
428,1217,150
429,2289,11
430,967,99
431,2251,81
432,2241,7
433,1976,99
434,1350,69
435,332,11
436,1217,69
437,762,69
438,1718,131
439,1997,131
440,1538,35
441,663,35
442,1350,131
443,1348,99
444,1930,11
445,223,199
446,1168,199
447,2074,199
448,967,81
449,1168,150
450,386,11
451,741,7
452,386,69
453,967,131
454,1168,131
455,1997,41
456,399,131
457,550,99
458,1350,35
459,1997,69
460,1408,41
461,550,99
462,1718,81
463,2241,150
464,2289,11
465,2241,11
466,399,199
467,836,41
468,602,81
469,1217,41
470,1408,81
471,234,41
472,2241,199
473,647,131
474,1825,69
475,1947,99
476,1538,131
477,386,99
478,1217,131
479,223,150
480,234,150
481,1930,41
482,1718,35
483,223,41
484,2251,99
485,223,99
486,1825,81
487,234,11
488,399,41
489,313,81
490,223,41
491,678,35
492,1538,99
493,223,199
494,815,99
495,1168,35
496,1538,199
497,687,11
498,1965,131
499,313,41
500,1825,11
501,1718,99
502,706,35
503,332,131
504,2074,199
505,2251,81
506,706,81
507,602,11
508,2074,199
509,1930,7
510,332,81
511,815,69
512,2289,41
513,2074,131
514,1825,7
515,1965,69
516,1901,41
517,1976,131
518,2251,99
519,1965,199
520,2289,41
521,1718,99
522,1825,7
523,967,131
524,550,99
525,1718,11
526,1947,81
527,313,11
528,2241,150
529,2251,7
530,332,7
531,602,69
532,2289,99
533,663,99
534,201,150
535,678,81
536,602,11
537,1408,35
538,399,81
539,313,199
540,550,7
541,2046,81
542,815,41
543,223,35
544,399,11
545,762,131
546,663,99
547,399,150
548,1976,99
549,201,69
550,234,7
551,2074,35
552,762,150
553,815,131
554,815,35
555,836,69
556,1930,35
557,2289,41
558,647,81
559,1901,11
560,1997,11
561,687,150
562,1718,199
563,706,99
564,602,150
565,1168,150
566,550,131
567,2289,199
568,1965,41
569,2241,199
570,223,69
571,2046,199
572,597,199
573,1997,11
574,836,199
575,647,35
576,647,11
577,399,131
578,741,7
579,815,11
580,2289,35
581,313,150
582,399,11
583,2251,69
584,1901,150
585,1930,150
586,332,35
587,1825,99
588,1976,41
589,1965,150
590,1997,7
591,678,131
592,1408,81
593,1951,199
594,762,7
595,1538,41
596,836,41
597,1930,69
598,597,131
599,597,69
600,332,99
601,1168,131
602,1951,35
603,1217,81
604,687,7
605,1930,35
606,1976,7
607,1930,11
608,1718,131
609,1930,41
610,741,69
611,597,81
612,1951,69
613,550,35
614,1408,81
615,1901,150
616,706,41
617,386,199
618,201,99
619,2241,11
620,1997,11
621,678,69
622,602,7
623,1350,199
624,1901,199
625,386,81
626,1930,35
627,647,35
628,313,7
629,1538,35
630,1930,99
631,2241,150
632,1168,11
633,2289,150
634,399,11
635,762,35
636,663,11
637,762,69
638,399,81
639,1168,131
640,2241,99
641,967,7
642,1930,199
643,647,81
644,234,150
645,678,131
646,1930,81
647,678,150
648,2289,35
649,678,81
650,550,35
651,1350,35
652,1538,81
653,1976,150
654,223,69
655,2289,199
656,2251,150
657,1965,35
658,1217,11
659,2074,99
660,1538,35
661,741,150
662,597,7
663,332,131
664,1168,81
665,1976,11
666,332,199
667,678,7
668,706,41
669,386,35
670,1951,150
671,1538,199
672,1718,11
673,1217,131
674,2251,81
675,647,11
676,332,150
677,1538,7
678,1951,69
679,1976,131
680,223,69
681,1718,41
682,663,35
683,234,7
684,1350,11
685,399,7
686,678,199
687,663,11
688,223,11
689,1901,7
690,223,41
691,836,99
692,1348,41
693,1947,99
694,1825,11
695,332,41
696,1348,35
697,1965,11
698,2251,131
699,2251,11
700,597,81
701,647,11
702,1408,7
703,836,199
704,1217,41
705,706,81
706,741,99
707,1997,11
708,234,99
709,678,35
710,313,131
711,2046,199
712,1718,35
713,815,150
714,2289,131
715,1965,81
716,1168,150
717,1718,41
718,2289,7
719,741,11
720,2251,35
721,332,81
722,678,199
723,1997,41
724,1901,199
725,223,199
726,706,131
727,332,131
728,1825,7
729,815,131
730,1217,81
731,1930,69
732,741,199
733,1350,69
734,1408,131
735,678,199
736,2289,11
737,1965,99
738,1825,199
739,1408,99
740,386,41
741,2289,81
742,399,7
743,741,11
744,550,99
745,1947,7
746,762,81
747,2289,35
748,1965,131
749,706,35
750,815,41
751,1825,7
752,550,69
753,678,41
754,1538,150
755,1976,11
756,201,150
757,234,7
758,1997,41
759,1350,7
760,2241,81
761,663,99
762,201,131
763,687,199
764,1718,35
765,836,150
766,2074,131
767,201,69
768,597,11
769,2241,11
770,2289,11
771,1825,81
772,967,81
773,762,81
774,1947,7
775,602,199
776,1965,35
777,201,41
778,234,7
779,1348,99
780,1718,81
781,1997,11
782,1901,81
783,706,11
784,678,11
785,967,35
786,1976,150
787,2241,7
788,836,131
789,687,41
790,399,81
791,223,150
792,1965,11
793,332,150
794,2289,11
795,1947,131
796,2074,150
797,706,99
798,332,131
799,201,150
800,762,35
801,1408,69
802,386,131
803,2289,81
804,663,81
805,399,11
806,1538,199
807,201,150
808,1901,199
809,1965,81
810,1825,11
811,1348,81
812,234,7
813,1718,150
814,2251,7
815,2241,35
816,1168,41
817,815,131
818,1350,81
819,663,199
820,1408,41
821,1825,11
822,706,81
823,201,35
824,597,35
825,1901,150
826,836,35
827,2289,131
828,663,131
829,1997,69
830,1947,11
831,2046,131
832,706,7
833,1951,69
834,1976,81
835,663,11
836,223,131
837,1348,199
838,234,11
839,2046,35
840,223,81
841,2046,41
842,550,7
843,223,11
844,1718,131
845,1408,199
846,1217,199
847,815,7
848,201,69
849,1997,99
850,1538,69
851,2046,199
852,550,35
853,332,81
854,1408,150
855,1947,150
856,1718,131
857,1408,69
858,332,7
859,2241,150
860,2251,131
861,1408,99
862,706,35
863,386,41
864,687,7
865,602,41
866,1965,7
867,647,7
868,687,81
869,332,199
870,1348,35
871,313,81
872,201,99
873,2289,69
874,2251,7
875,223,7
876,2289,7
877,762,35
878,1947,99
879,2289,81
880,1217,150
881,332,99
882,762,69
883,1350,99
884,663,41
885,550,7
886,1538,69
887,1901,99
888,597,11
889,2289,41
890,815,131
891,1965,7
892,1350,150
893,678,131
894,836,131
895,597,199
896,1947,41
897,1217,150
898,1348,7
899,762,81
900,1168,150
901,967,41
902,234,69
903,1348,7
904,1168,150
905,815,81
906,386,131
907,706,81
908,201,11
909,399,199
910,687,35
911,2046,7
912,223,99
913,1408,150
914,2241,35
915,836,150
916,2241,199
917,1825,131
918,2289,11
919,1901,131
920,2046,81
921,687,99
922,1217,131
923,201,41
924,706,41
925,762,41
926,678,99
927,1538,150
928,741,41
929,1538,69
930,1965,11
931,836,69
932,2046,7
933,1947,7
934,1217,41
935,1947,81
936,815,81
937,1930,81
938,1951,69
939,1965,35
940,1976,131
941,706,7
942,234,99
943,2074,199
944,836,7
945,332,81
946,1901,150
947,1168,69
948,2074,41
949,2046,150
950,1538,99
951,1408,199
952,2074,199
953,234,81
954,2074,35
955,967,7
956,313,81
957,1408,199
958,1408,7
959,234,7
960,2251,199
961,967,41
962,706,11
963,313,81
964,1348,199
965,2289,199
966,815,35
967,399,150
968,1348,41
969,597,11
970,2074,41
971,2046,99
972,1976,150
973,1997,199
974,741,41
975,1901,150
976,2046,131
977,234,99
978,2251,150
979,706,150
980,1408,81
981,836,150
982,647,99
983,602,99
984,1350,7
985,223,69
986,386,41
987,762,41
988,1718,41
989,1965,11
990,597,150
991,2289,35
992,1951,35
993,2046,35
994,1930,35
995,967,11
996,399,69
997,663,7
998,223,150
999,815,131
1000,1965,131
1001,815,150
1002,1947,35
1003,687,35
1004,2046,150
1005,1965,81
1006,1350,11
1007,1825,69
1008,550,7
1009,836,81
1010,687,11
1011,678,69
1012,332,199
1013,741,99
1014,550,11
1015,647,35
1016,234,131
1017,550,199
1018,815,81
1019,223,99
1020,1976,150
1021,223,131
1022,1408,41
1023,234,11
1024,399,131
1025,1350,150
1026,1930,99
1027,223,69
1028,706,199
1029,2289,11
1030,399,81
1031,967,41
1032,201,199
1033,234,7
1034,762,81
1035,399,7
1036,2074,99
1037,602,199
1038,1951,69
1039,1538,150
1040,1350,35
1041,1930,150
1042,1930,150
1043,1901,131
1044,2251,35
1045,663,7
1046,762,41
1047,2074,131
1048,1408,35
1049,1947,7
1050,1217,35
1051,647,99
1052,386,99
1053,1538,7
1054,597,11
1055,1718,69
1056,313,131
1057,1930,81
1058,967,69
1059,2074,35
1060,1350,35
1061,647,41
1062,597,131
1063,1538,131
1064,1538,199
1065,1217,35
1066,1350,199
1067,678,41
1068,1408,11
1069,1997,69
1070,1718,150
1071,386,131
1072,815,199
1073,1825,150
1074,647,41
1075,332,131
1076,223,11
1077,602,131
1078,602,11
1079,647,150
1080,678,11
1081,815,150
1082,967,150
1083,967,131
1084,706,7
1085,1408,35
1086,762,41
1087,2289,11
1088,815,7
1089,706,99
1090,663,150
1091,1538,41
1092,1901,99
1093,706,81
1094,762,11
1095,2251,150
1096,2046,81
1097,741,7
1098,2251,99
1099,1168,35
1100,2241,131
1101,1965,150
1102,1947,41
1103,647,35
1104,1538,11
1105,836,199
1106,313,99
1107,1930,7
1108,550,81
1109,386,131
1110,1965,35
1111,1350,35
1112,1930,131
1113,741,35
1114,1976,99
1115,1901,131
1116,1965,69
1117,234,35
1118,386,150
1119,597,199
1120,2289,35
1121,234,7
1122,234,11
1123,687,150
1124,1965,199
1125,1825,7
1126,1825,199
1127,2046,11
1128,1168,35
1129,386,199
1130,386,11
1131,201,81
1132,2046,7
1133,663,199
1134,399,7
1135,1217,69
1136,815,131
1137,815,131
1138,1930,35
1139,234,131
1140,550,7
1141,706,11
1142,1947,7
1143,1965,69
1144,1538,150
1145,386,7
1146,1901,11
1147,815,150
1148,1965,7
1149,201,7
1150,597,11
1151,234,35
1152,2241,11
1153,706,99
1154,2289,35
1155,836,35
1156,2046,150
1157,2289,69
1158,1947,41
1159,1997,99
1160,1901,41
1161,597,99
1162,967,69
1163,678,81
1164,2241,199
1165,1718,35
1166,332,199
1167,2046,81
1168,1997,131
1169,687,131
1170,550,11
1171,1825,41
1172,1901,7
1173,1976,35
1174,2046,41
1175,762,81
1176,550,150
1177,399,199
1178,1951,69
1179,1997,69
1180,706,131
1181,1901,35
1182,597,81
1183,1168,35
1184,602,81
1185,1350,150
1186,1538,81
1187,313,131
1188,1825,35
1189,1538,35
1190,687,199
1191,313,131
1192,762,199
1193,741,7
1194,836,41
1195,602,81
1196,1168,41
1197,1538,99
1198,1538,81
1199,399,7
1200,201,69
1201,687,7
1202,663,11
1203,2251,81
1204,1538,150
1205,234,131
1206,1930,199
1207,234,99
1208,1168,35
1209,1947,35
1210,313,69
1211,234,69
1212,1930,7
1213,706,41
1214,663,7
1215,1965,81
1216,2074,199
1217,2251,81
1218,597,69
1219,1997,81
1220,647,81
1221,223,41
1222,313,81
1223,2289,35
1224,706,81
1225,836,11
1226,663,99
1227,741,11
1228,762,11
1229,2251,69
1230,313,35
1231,550,41
1232,762,7
1233,2289,11
1234,399,11
1235,741,69
1236,1951,7
1237,2251,11
1238,2289,131
1239,2046,11
1240,663,199
1241,678,99
1242,234,69
1243,223,7
1244,597,81
1245,762,41
1246,967,7
1247,1951,81
1248,687,131
1249,1718,7
1250,313,81
1251,399,7
1252,1947,7
1253,201,99
1254,2241,150
1255,1538,81
1256,332,81
1257,550,81
1258,1348,35
1259,234,131
1260,1217,131
1261,386,199
1262,2046,81
1263,1997,150
1264,1825,7
1265,201,11
1266,2289,150
1267,1930,41
1268,223,7
1269,1947,69
1270,967,81
1271,550,35
1272,1217,11
1273,1217,69
1274,386,11
1275,647,41
1276,1348,150
1277,647,35
1278,2289,81
1279,762,41
1280,1168,199
1281,399,7
1282,663,41
1283,1348,131
1284,663,199
1285,741,11
1286,1538,7
1287,2074,41
1288,1350,35
1289,706,81
1290,1168,131
1291,223,81
1292,678,81
1293,1965,150
1294,550,150
1295,602,11
1296,663,99
1297,332,81
1298,223,199
1299,201,131
1300,815,69
1301,2046,7
1302,687,199
1303,663,150
1304,1168,99
1305,1408,150
1306,602,150
1307,201,199
1308,399,150
1309,1168,199
1310,2046,7
1311,234,7
1312,762,35
1313,386,35
1314,1538,11
1315,741,11
1316,2289,99
1317,201,150
1318,1947,11
1319,602,99
1320,1168,41
1321,706,199
1322,1217,199
1323,550,35
1324,1825,81
1325,1947,35
1326,663,35
1327,647,35
1328,1947,199
1329,1997,81
1330,1947,81
1331,1350,11
1332,602,69
1333,1408,7
1334,1825,131
1335,1997,150
1336,647,41
1337,332,35
1338,687,41
1339,1408,69
1340,663,7
1341,386,35
1342,762,69
1343,2289,35
1344,647,35
1345,647,81
1346,1168,199
1347,2046,69
1348,2046,81
1349,313,35
1350,1965,69
1351,1538,99
1352,2241,199
1353,2289,131
1354,836,150
1355,1217,11
1356,602,7
1357,1930,69
1358,1718,11
1359,602,199
1360,663,81
1361,1947,99
1362,2289,199
1363,836,35
1364,2046,11
1365,332,69
1366,1901,150
1367,602,7
1368,967,131
1369,234,99
1370,1348,41
1371,687,7
1372,647,35
1373,1538,199
1374,663,7
1375,332,7
1376,1538,69
1377,967,35
1378,332,35
1379,1947,35
1380,663,69
1381,687,81
1382,1350,150
1383,602,41
1384,1947,150
1385,663,11
1386,1930,41
1387,678,99
1388,386,99
1389,1965,99
1390,1901,150
1391,1965,41
1392,1217,150
1393,602,81
1394,1947,199
1395,597,81
1396,1930,35
1397,1348,81
1398,1947,11
1399,1997,69
1400,223,81
1401,1976,131
1402,234,131
1403,597,41
1404,1997,131
1405,1408,150
1406,836,11
1407,1947,150
1408,741,69
1409,2251,99
1410,1947,150
1411,1930,99
1412,1538,69
1413,663,99
1414,597,131
1415,201,99
1416,550,35
1417,550,41
1418,550,131
1419,1976,69
1420,1947,35
1421,678,199
1422,2289,41
1423,836,131
1424,815,7
1425,687,199
1426,1951,81
1427,2074,69
1428,836,11
1429,1930,131
1430,2251,69
1431,550,7
1432,332,69
1433,647,81
1434,647,81
1435,2046,131
1436,1976,99
1437,1930,150
1438,663,35
1439,1718,7
1440,1350,131
1441,967,11
1442,741,131
1443,1965,131
1444,313,41
1445,550,41
1446,1217,69
1447,2251,81
1448,399,131
1449,313,11
1450,399,35
1451,815,131
1452,602,199
1453,234,99
1454,815,41
1455,1718,41
1456,1168,7
1457,815,150
1458,1951,199
1459,687,69
1460,234,7
1461,663,11
1462,597,131
1463,602,99
1464,1976,131
1465,1538,69
1466,678,11
1467,836,131
1468,1408,199
1469,399,81
1470,967,81
1471,1976,41
1472,550,150
1473,1947,99
1474,687,41
1475,2241,81
1476,1348,81
1477,332,199
1478,597,81
1479,836,131
1480,313,7
1481,836,41
1482,1408,7
1483,1901,11
1484,1825,35
1485,1947,131
1486,1997,11
1487,1538,199
1488,678,35
1489,1951,69
1490,1825,41
1491,687,199
1492,967,81
1493,2074,199
1494,550,7
1495,678,99
1496,2251,35
1497,1538,35
1498,550,11
1499,1825,11
1500,836,11
1501,1408,41
1502,313,99
1503,223,41
1504,647,35
1505,1718,69
1506,2046,41
1507,1348,199
1508,313,7
1509,1930,69
1510,1965,99
1511,223,131
1512,1901,150
1513,1965,199
1514,1217,11
1515,1951,99
1516,1976,81
1517,2241,7
1518,399,99
1519,550,7
1520,2241,131
1521,678,81
1522,1901,69
1523,647,131
1524,1348,7
1525,1408,35
1526,2046,69
1527,2251,99
1528,2241,11
1529,1825,131
1530,1408,81
1531,1168,81
1532,201,199
1533,1901,69
1534,2251,99
1535,386,69
1536,2046,69
1537,2251,199
1538,1997,69
1539,2241,199
1540,762,41
1541,223,99
1542,1976,11
1543,1901,199
1544,678,150
1545,1408,11
1546,399,99
1547,1997,131
1548,967,81
1549,836,7
1550,967,199
1551,1951,150
1552,687,131
1553,550,150
1554,332,150
1555,2289,11
1556,741,69
1557,223,69
1558,1965,41
1559,201,35
1560,663,41
1561,2046,150
1562,2046,199
1563,967,199
1564,1997,69
1565,1538,7
1566,386,199
1567,2046,150
1568,2046,35
1569,597,99
1570,399,7
1571,234,199
1572,313,41
1573,1947,150
1574,762,150
1575,399,69
1576,1350,199
1577,1976,131
1578,1408,41
1579,2289,11
1580,1825,99
1581,386,81
1582,2046,199
1583,1408,41
1584,1951,35
1585,706,35
1586,706,41
1587,2046,150
1588,1217,199
1589,1976,41
1590,836,150
1591,1947,99
1592,1350,35
1593,399,7
1594,1408,99
1595,1965,150
1596,1217,11
1597,602,131
1598,1951,11
1599,223,131
1600,550,41
1601,1901,131
1602,386,99
1603,597,81
1604,678,35
1605,597,35
1606,2241,69
1607,223,7
1608,332,81
1609,1951,11
1610,1538,131
1611,1930,35
1612,1965,81
1613,1901,69
1614,234,81
1615,836,7
1616,1408,41
1617,678,7
1618,201,7
1619,815,150
1620,2241,99
1621,2289,11
1622,1168,199
1623,602,99
1624,223,99
1625,1217,199
1626,706,81
1627,762,35
1628,234,150
1629,1901,35
1630,1217,35
1631,1951,99
1632,1168,99
1633,1976,7
1634,815,131
1635,1947,7
1636,706,99
1637,1951,150
1638,1718,131
1639,678,99
1640,762,199
1641,1217,35
1642,2251,69
1643,2046,41
1644,663,150
1645,201,199
1646,399,99
1647,1348,131
1648,234,69
1649,2074,69
1650,223,131
1651,647,69
1652,815,11
1653,663,11
1654,2046,150
1655,1825,69
1656,967,131
1657,1408,150
1658,597,81
1659,706,131
1660,332,131
1661,1997,131
1662,2289,150
1663,967,81
1664,1901,131
1665,1348,131
1666,1350,199
1667,602,150
1668,815,35
1669,2289,69
1670,2289,11
1671,399,69
1672,550,41
1673,1538,81
1674,313,7
1675,399,11
1676,2241,11
1677,647,11
1678,1825,69
1679,1168,11
1680,663,41
1681,386,11
1682,1930,7
1683,647,41
1684,1947,99
1685,1408,131
1686,2289,150
1687,597,69
1688,1348,41
1689,602,41
1690,234,7
1691,647,11
1692,741,99
1693,1350,81
1694,741,131
1695,2046,35
1696,1997,41
1697,201,35
1698,1408,150
1699,815,199
1700,1947,199
1701,1538,69
1702,1976,199
1703,1976,131
1704,647,99
1705,597,35
1706,741,11
1707,741,35
1708,2046,99
1709,1947,69
1710,386,199
1711,967,131
1712,1997,131
1713,2046,150
1714,2289,99
1715,2241,41
1716,815,69
1717,1168,81
1718,2074,35
1719,2289,131
1720,2046,199
1721,663,131
1722,647,81
1723,313,11
1724,2251,7
1725,1168,131
1726,597,99
1727,1901,81
1728,663,69
1729,1976,7
1730,550,7
1731,836,99
1732,399,131
1733,2251,11
1734,1538,150
1735,1217,81
1736,1951,150
1737,1217,199
1738,332,69
1739,550,150
1740,1901,131
1741,1217,7
1742,234,69
1743,706,11
1744,1965,150
1745,223,199
1746,1348,199
1747,1350,81
1748,836,41
1749,967,150
1750,663,11
1751,967,41
1752,597,81
1753,234,81
1754,1965,41
1755,706,199
1756,1168,131
1757,687,81
1758,550,11
1759,1901,41
1760,2241,81
1761,223,11
1762,2046,11
1763,2241,35
1764,1901,99
1765,1350,35
1766,1348,41
1767,2251,199
1768,223,35
1769,313,199
1770,678,11
1771,1348,35
1772,678,69
1773,1947,35
1774,2289,41
1775,1408,11
1776,1350,199
1777,2241,35
1778,1997,35
1779,762,81
1780,1350,150
1781,1976,199
1782,1997,41
1783,1350,150
1784,597,99
1785,2074,41
1786,234,35
1787,678,11
1788,234,41
1789,2251,11
1790,967,35
1791,201,41
1792,706,41
1793,1901,199
1794,2046,150
1795,1976,131
1796,687,11
1797,2251,131
1798,815,7
1799,1538,81
1800,687,150
1801,706,150
1802,1217,35
1803,687,131
1804,399,69
1805,1825,7
1806,678,81
1807,1947,35
1808,2074,7
1809,1976,150
1810,1217,7
1811,2046,11
1812,386,35
1813,2046,7
1814,967,35
1815,1408,81
1816,201,35
1817,678,131
1818,313,81
1819,815,99
1820,1930,69
1821,1901,11
1822,678,69
1823,1947,7
1824,1947,7
1825,223,69
1826,762,35
1827,1408,150
1828,234,81
1829,386,35
1830,1930,99
1831,223,41
1832,234,150
1833,663,131
1834,1930,81
1835,332,199
1836,967,99
1837,1976,35
1838,1217,41
1839,663,7
1840,223,150
1841,1825,41
1842,313,99
1843,1350,131
1844,1951,81
1845,1217,81
1846,836,199
1847,2251,69
1848,550,99
1849,1538,69
1850,399,69
1851,687,69
1852,815,150
1853,1408,150
1854,2074,69
1855,602,35
1856,1976,7
1857,386,35
1858,1168,41
1859,815,99
1860,1997,99
1861,678,81
1862,1951,35
1863,332,69
1864,663,11
1865,386,199
1866,706,199
1867,1718,7
1868,597,35
1869,550,35
1870,815,150
1871,332,69
1872,313,199
1873,1825,35
1874,762,81
1875,1947,199
1876,313,81
1877,1408,99
1878,550,99
1879,1997,69
1880,386,81
1881,647,69
1882,2046,41
1883,1718,11
1884,2046,35
1885,234,150
1886,399,69
1887,1718,35
1888,313,199
1889,1825,81
1890,1217,150
1891,687,69
1892,1947,69
1893,386,35
1894,313,150
1895,815,131
1896,1825,99
1897,663,81
1898,1718,81
1899,741,81
1900,386,69
1901,687,81
1902,223,131
1903,1965,41
1904,2074,131
1905,967,11
1906,967,11
1907,1951,7
1908,1901,7
1909,2046,69
1910,687,35
1911,967,11
1912,706,199
1913,1947,7
1914,399,7
1915,706,41
1916,1947,41
1917,663,69
1918,602,99
1919,663,199
1920,1168,35
1921,597,131
1922,2289,7
1923,1930,81
1924,678,69
1925,2241,69
1926,967,150
1927,2074,7
1928,399,199
1929,201,35
1930,1947,81
1931,386,99
1932,706,11
1933,1825,99
1934,687,11
1935,332,199
1936,1350,150
1937,647,41
1938,223,199
1939,1538,35
1940,678,41
1941,2289,99
1942,1718,199
1943,602,69
1944,313,41
1945,1951,199
1946,597,69
1947,647,11
1948,1168,35
1949,815,150
1950,2074,41
1951,1718,41
1952,2289,41
1953,332,81
1954,741,150
1955,1168,150
1956,741,7
1957,1947,99
1958,678,99
1959,1350,150
1960,1930,99
1961,1997,81
1962,313,7
1963,1408,7
1964,602,150
1965,597,99
1966,1965,131
1967,597,131
1968,678,81
1969,647,150
1970,550,150
1971,687,99
1972,815,11
1973,223,69
1974,1350,35
1975,687,131
1976,1217,11
1977,741,35
1978,647,41
1979,647,81
1980,836,69
1981,234,99
1982,602,41
1983,2241,7
1984,1901,69
1985,313,69
1986,836,99
1987,967,131
1988,234,35
1989,550,35
1990,647,69
1991,1718,99
1992,967,81
1993,1930,35
1994,399,199
1995,1408,131
1996,1350,131
1997,1901,81
