id_x,created_at,user_id,product_id,discount,quantity,date_only,category,price,total
24,2019-09-20T17:28:38.643Z,4,14,0.0,6,2019-09-20,Widget,25.0988,150.5928
25,2019-12-21T12:23:13.696Z,4,97,0.0,2,2019-12-21,Doohickey,74.9455,149.891
26,2018-06-20T02:18:00.254Z,5,40,0.0,5,2018-06-20,Gizmo,66.4416,332.20799999999997
27,2019-04-28T07:01:15.932Z,6,14,0.0,2,2019-04-28,Widget,25.0988,50.1976
28,2018-05-23T18:15:24.432Z,6,49,9.14506,4,2018-05-23,Gadget,87.6191,350.4764
29,2018-03-07T22:56:54.735Z,6,45,0.0,1,2018-03-07,Doohickey,78.6997,78.6997
30,2019-04-15T12:24:20.170Z,6,179,0.0,3,2019-04-15,Doohickey,45.5494,136.6482
31,2018-05-22T04:28:04.569Z,7,191,0.0,6,2018-05-22,Gadget,85.7228,514.3368
32,2018-06-04T05:11:15.294Z,7,82,0.0,7,2018-06-04,Gadget,40.597,284.17900000000003
33,2019-06-18T11:17:03.676Z,7,172,6.48103,4,2019-06-18,Gizmo,81.5768,326.3072
34,2019-01-04T21:12:38.428Z,7,3,0.0,1,2019-01-04,Doohickey,35.3887,35.3887
35,2017-10-10T01:37:18.769Z,7,21,0.0,5,2017-10-10,Gadget,40.3833,201.91649999999998
36,2018-07-04T00:34:31.322Z,7,145,0.0,4,2018-07-04,Gizmo,40.7989,163.1956
37,2017-08-30T12:40:52.641Z,7,17,0.0,4,2017-08-30,Doohickey,53.2907,213.1628
38,2018-07-25T23:27:34.530Z,7,39,0.0,5,2018-07-25,Gizmo,76.3877,381.9385
39,2018-05-09T03:09:25.897Z,7,142,0.0,4,2018-05-09,Doohickey,46.899,187.596
40,2019-11-21T23:35:02.479Z,7,101,0.0,2,2019-11-21,Gadget,93.2166,186.4332
41,2018-12-04T00:08:37.569Z,7,51,0.0,2,2018-12-04,Gizmo,50.4337,100.8674
42,2019-11-16T08:11:08.666Z,7,145,0.0,3,2019-11-16,Gizmo,40.7989,122.39670000000001
43,2019-11-03T20:24:38.219Z,8,193,0.0,3,2019-11-03,Gadget,33.5872,100.76160000000002
44,2017-10-01T14:47:29.444Z,8,101,0.0,6,2017-10-01,Gadget,93.2166,559.2996
45,2017-09-25T00:11:10.923Z,8,141,0.0,5,2017-09-25,Doohickey,84.1354,420.677
46,2018-06-14T03:09:15.751Z,8,8,0.0,4,2018-06-14,Doohickey,65.8922,263.5688
47,2018-07-06T00:35:40.063Z,8,104,0.0,4,2018-07-06,Widget,70.9614,283.8456
48,2019-05-16T20:17:06.720Z,8,140,0.0,5,2019-05-16,Gadget,44.5354,222.67700000000002
49,2019-11-17T09:19:09.682Z,8,157,0.0,3,2019-11-17,Widget,93.2628,279.7884
50,2018-01-01T07:26:31.444Z,8,12,0.0,2,2018-01-01,Gizmo,77.3428,154.6856
51,2017-12-06T03:46:28.378Z,8,114,0.0,2,2017-12-06,Doohickey,51.9413,103.8826
52,2018-07-15T23:04:22.325Z,9,34,0.0,3,2018-07-15,Gadget,49.5359,148.6077
53,2018-09-15T13:06:14.139Z,9,79,0.0,3,2018-09-15,Gizmo,27.7446,83.2338
54,2018-10-26T20:41:23.428Z,10,68,7.63762,4,2018-10-26,Gizmo,76.829,307.316
55,2017-08-16T09:51:35.096Z,10,149,0.0,5,2017-08-16,Widget,46.1028,230.514
56,2016-12-02T08:04:45.937Z,10,109,0.0,1,2016-12-02,Widget,79.3666,79.3666
57,2020-02-05T03:28:52.924Z,10,42,0.0,1,2020-02-05,Widget,25.3361,25.3361
58,2019-03-09T01:05:15.721Z,10,91,0.0,1,2019-03-09,Gizmo,43.3962,43.3962
59,2019-04-11T18:53:36.645Z,10,71,0.0,1,2019-04-11,Gadget,55.2025,55.2025
60,2018-07-10T03:17:28.857Z,10,92,0.0,2,2018-07-10,Gizmo,83.2616,166.5232
61,2019-09-23T11:07:08.376Z,10,11,0.0,3,2019-09-23,Gadget,88.3045,264.9135
62,2018-10-13T19:02:04.952Z,10,198,0.0,6,2018-10-13,Gizmo,46.7641,280.5846
63,2018-04-14T19:47:06.649Z,10,58,0.0,3,2018-04-14,Gadget,52.0972,156.29160000000002
64,2019-02-23T16:13:35.970Z,10,65,0.0,2,2019-02-23,Widget,45.4851,90.9702
65,2018-09-14T23:33:17.679Z,10,53,0.0,5,2018-09-14,Doohickey,29.5172,147.58599999999998
66,2018-03-30T20:03:22.716Z,10,15,3.44473,1,2018-03-30,Widget,25.0988,25.0988
67,2018-05-30T05:01:21.334Z,10,152,7.80685,5,2018-05-30,Widget,32.5971,162.9855
68,2019-05-28T14:47:23.973Z,12,25,0.0,5,2019-05-28,Widget,45.7484,228.742
69,2019-06-28T14:19:18.995Z,12,183,0.0,8,2019-06-28,Gizmo,37.7983,302.3864
70,2019-11-21T11:21:36.739Z,12,22,0.0,3,2019-11-21,Gizmo,21.4245,64.2735
71,2017-09-01T11:51:46.788Z,12,161,0.0,4,2017-09-01,Doohickey,31.7275,126.91
72,2017-07-18T10:51:55.733Z,12,13,0.0,5,2017-07-18,Gizmo,75.0862,375.43100000000004
73,2019-08-18T02:49:20.543Z,12,122,0.0,7,2019-08-18,Gizmo,66.5635,465.94450000000006
74,2020-02-20T00:36:30.807Z,12,154,1.84576,1,2020-02-20,Widget,54.5835,54.5835
75,2017-04-10T23:33:10.082Z,12,13,0.0,2,2017-04-10,Gizmo,75.0862,150.1724
76,2016-12-19T19:40:17.782Z,15,185,0.0,2,2016-12-19,Gadget,26.3847,52.7694
77,2019-09-27T21:32:36.824Z,15,86,0.0,4,2019-09-27,Doohickey,61.5429,246.1716
78,2018-05-02T15:42:21.755Z,15,165,0.0,5,2018-05-02,Gizmo,25.5363,127.6815
79,2018-04-25T15:55:31.477Z,15,49,0.0,4,2018-04-25,Gadget,87.6191,350.4764
80,2019-04-15T14:49:30.838Z,15,85,0.0,4,2019-04-15,Gizmo,36.6007,146.4028
81,2019-10-29T03:41:26.912Z,15,157,6.01243,4,2019-10-29,Widget,93.2628,373.0512
82,2018-01-03T09:10:59.771Z,16,78,0.0,2,2018-01-03,Gizmo,27.7446,55.4892
83,2018-04-28T18:48:34.862Z,16,169,6.01243,3,2018-04-28,Doohickey,39.6878,119.0634
84,2019-12-26T14:29:19.631Z,16,183,0.0,2,2019-12-26,Gizmo,37.7983,75.5966
85,2019-06-05T08:15:20.979Z,16,104,0.0,6,2019-06-05,Widget,70.9614,425.7684
86,2016-06-08T10:56:25.212Z,16,147,0.0,6,2016-06-08,Doohickey,44.4315,266.589
87,2019-05-06T01:41:27.086Z,16,17,0.0,3,2019-05-06,Doohickey,53.2907,159.8721
88,2019-08-10T01:39:40.313Z,16,14,0.0,7,2019-08-10,Widget,25.0988,175.6916
89,2016-08-28T16:44:40.361Z,16,90,0.0,7,2016-08-28,Gizmo,82.0797,574.5579
90,2016-12-29T08:29:20.559Z,16,87,0.0,1,2016-12-29,Widget,78.1702,78.1702
91,2019-02-18T12:57:11.124Z,17,185,0.0,2,2019-02-18,Gadget,26.3847,52.7694
92,2017-03-26T08:45:35.004Z,17,147,0.0,1,2017-03-26,Doohickey,44.4315,44.4315
93,2017-06-18T11:15:50.035Z,17,15,0.0,4,2017-06-18,Widget,25.0988,100.3952
94,2019-08-01T00:15:06.426Z,17,172,0.0,4,2019-08-01,Gizmo,81.5768,326.3072
95,2017-09-12T15:12:48.010Z,17,76,0.0,4,2017-09-12,Widget,42.5495,170.198
96,2018-09-26T23:27:09.597Z,17,140,0.0,4,2018-09-26,Gadget,44.5354,178.1416
97,2019-07-01T01:51:26.871Z,17,110,0.0,4,2019-07-01,Widget,37.0178,148.0712
98,2020-04-06T00:45:35.910Z,17,26,0.0,3,2020-04-06,Widget,45.4165,136.2495
99,2019-12-23T09:54:13.302Z,17,199,0.0,1,2019-12-23,Widget,76.9533,76.9533
100,2017-03-28T22:58:05.087Z,17,84,0.0,0,2017-03-28,Gizmo,54.5842,0.0
101,2018-09-14T06:42:41.636Z,17,30,5.05391,3,2018-09-14,Gadget,42.783,128.349
102,2017-12-02T04:32:23.123Z,17,95,0.0,2,2017-12-02,Gizmo,33.2124,66.4248
103,2019-09-15T18:30:40.798Z,17,172,0.0,5,2019-09-15,Gizmo,81.5768,407.884
104,2020-02-15T18:57:49.869Z,17,23,0.0,2,2020-02-15,Widget,77.9111,155.8222
105,2018-03-01T00:41:52.080Z,17,118,0.0,1,2018-03-01,Gadget,38.4184,38.4184
106,2019-06-16T07:59:05.594Z,17,158,0.0,4,2019-06-16,Gizmo,93.2628,373.0512
107,2017-05-07T23:40:43.989Z,17,12,0.0,3,2017-05-07,Gizmo,77.3428,232.02839999999998
108,2017-12-01T06:15:20.772Z,17,127,0.0,18,2017-12-01,Widget,89.6534,1613.7612000000001
109,2019-09-14T06:23:32.909Z,17,172,0.0,3,2019-09-14,Gizmo,81.5768,244.73040000000003
110,2017-05-12T22:58:40.931Z,17,102,0.0,4,2017-05-12,Gadget,31.3614,125.4456
111,2020-04-19T08:27:25.536Z,17,56,0.0,3,2020-04-19,Doohickey,24.2475,72.74249999999999
112,2018-06-12T04:48:40.715Z,17,115,0.0,7,2018-06-12,Gadget,51.9413,363.5891
113,2019-09-01T22:01:35.536Z,17,182,0.0,5,2019-09-01,Gadget,56.3263,281.6315
114,2019-12-08T16:20:25.477Z,17,108,0.0,2,2019-12-08,Gadget,33.3966,66.7932
115,2017-08-30T06:13:52.097Z,18,191,0.0,6,2017-08-30,Gadget,85.7228,514.3368
116,2019-01-01T18:48:23.343Z,18,67,0.0,2,2019-01-01,Gizmo,27.4965,54.993
117,2018-02-26T02:43:13.292Z,18,49,0.0,2,2018-02-26,Gadget,87.6191,175.2382
118,2018-12-18T04:49:24.384Z,18,37,0.0,29,2018-12-18,Gadget,53.4052,1548.7508
119,2020-03-26T23:06:05.388Z,18,198,0.0,1,2020-03-26,Gizmo,46.7641,46.7641
120,2017-03-29T21:28:18.971Z,18,84,0.0,1,2017-03-29,Gizmo,54.5842,54.5842
121,2018-02-03T05:48:55.511Z,18,144,5.66093,1,2018-02-03,Widget,40.7989,40.7989
122,2018-12-31T20:08:35.474Z,18,41,0.0,2,2018-12-31,Widget,42.3393,84.6786
123,2017-11-19T17:22:48.891Z,18,131,0.0,3,2017-11-19,Widget,75.4115,226.23450000000003
124,2017-06-13T12:29:10.438Z,18,26,0.0,5,2017-06-13,Widget,45.4165,227.08249999999998
125,2018-07-18T01:04:09.876Z,19,129,0.0,4,2018-07-18,Gizmo,98.7782,395.1128
126,2019-07-25T00:26:35.948Z,19,149,0.555791,4,2019-07-25,Widget,46.1028,184.4112
127,2019-08-27T01:20:16.006Z,20,25,0.0,4,2019-08-27,Widget,45.7484,182.9936
128,2018-05-29T01:45:46.631Z,20,134,0.0,3,2018-05-29,Doohickey,28.3282,84.9846
129,2019-04-26T22:49:56.260Z,20,12,0.0,3,2019-04-26,Gizmo,77.3428,232.02839999999998
130,2017-05-13T15:57:14.220Z,20,100,5.05579,3,2017-05-13,Gizmo,45.2232,135.6696
131,2020-02-05T22:42:57.243Z,20,39,0.0,6,2020-02-05,Gizmo,76.3877,458.3262
132,2018-07-22T03:39:51.084Z,20,161,0.0,2,2018-07-22,Doohickey,31.7275,63.455
133,2016-10-25T11:08:11.678Z,20,36,5.86846,4,2016-10-25,Gizmo,87.2913,349.1652
134,2020-02-28T13:48:53.779Z,20,87,0.0,1,2020-02-28,Widget,78.1702,78.1702
135,2018-01-04T14:19:57.077Z,21,120,0.0,1,2018-01-04,Widget,55.668,55.668
136,2018-11-21T22:12:37.307Z,21,116,0.0,2,2018-11-21,Gizmo,76.2832,152.5664
137,2017-02-25T07:42:53.951Z,21,126,0.0,1,2017-02-25,Widget,83.496,83.496
138,2018-03-26T01:51:23.046Z,21,62,0.0,1,2018-03-26,Widget,89.0135,89.0135
139,2017-07-31T20:42:22.614Z,21,128,0.0,3,2017-07-31,Gizmo,50.0534,150.1602
140,2017-08-25T10:54:07.427Z,21,4,0.0,6,2017-08-25,Doohickey,73.9918,443.95079999999996
141,2019-06-21T15:05:41.233Z,22,132,0.0,5,2019-06-21,Widget,85.2546,426.27299999999997
142,2018-01-30T19:26:07.656Z,22,57,0.0,2,2018-01-30,Gizmo,81.6149,163.2298
143,2018-04-05T20:31:27.130Z,22,24,2.09588,2,2018-04-05,Doohickey,74.871,149.742
144,2016-12-11T16:41:35.400Z,22,15,0.0,1,2016-12-11,Widget,25.0988,25.0988
145,2017-03-18T07:40:09.855Z,22,120,0.0,1,2017-03-18,Widget,55.668,55.668
146,2017-09-29T19:13:15.649Z,22,189,0.0,6,2017-09-29,Widget,62.1849,373.1094
147,2019-05-24T15:36:17.532Z,22,71,0.0,4,2019-05-24,Gadget,55.2025,220.81
148,2019-01-26T14:21:47.436Z,22,106,0.0,1,2019-01-26,Doohickey,35.149,35.149
149,2020-01-25T19:05:08.521Z,22,199,0.0,2,2020-01-25,Widget,76.9533,153.9066
150,2018-11-06T14:12:49.730Z,22,104,0.0,3,2018-11-06,Widget,70.9614,212.8842
151,2019-12-19T07:14:30.039Z,22,78,0.0,1,2019-12-19,Gizmo,27.7446,27.7446
152,2018-04-28T23:03:07.994Z,22,61,0.0,3,2018-04-28,Gizmo,15.6919,47.0757
153,2018-11-28T15:57:37.123Z,23,29,0.0,3,2018-11-28,Widget,82.383,247.149
154,2019-12-25T10:11:36.131Z,23,83,0.0,1,2019-12-25,Gadget,54.5842,54.5842
155,2018-04-06T09:28:38.984Z,23,21,0.0,2,2018-04-06,Gadget,40.3833,80.7666
156,2020-03-12T01:55:46.721Z,23,189,0.0,1,2020-03-12,Widget,62.1849,62.1849
157,2019-01-14T18:54:49.071Z,23,104,0.0,2,2019-01-14,Widget,70.9614,141.9228
158,2019-08-18T01:58:34.250Z,23,78,0.0,9,2019-08-18,Gizmo,27.7446,249.70139999999998
159,2018-01-31T23:55:52.385Z,23,114,0.0,3,2018-01-31,Doohickey,51.9413,155.82389999999998
160,2018-03-01T23:52:38.760Z,23,165,0.0,1,2018-03-01,Gizmo,25.5363,25.5363
161,2020-04-04T04:31:57.111Z,24,29,3.19027,2,2020-04-04,Widget,82.383,164.766
162,2019-05-26T14:41:31.227Z,24,126,3.19027,3,2019-05-26,Widget,83.496,250.488
163,2018-04-07T02:25:01.256Z,24,75,0.0,3,2018-04-07,Gadget,83.8752,251.62560000000002
164,2018-10-22T09:59:09.117Z,24,33,0.0,7,2018-10-22,Doohickey,31.8299,222.80929999999998
165,2019-08-14T12:35:14.039Z,24,10,0.0,7,2019-08-14,Gizmo,31.7862,222.5034
166,2019-07-19T13:10:13.348Z,24,151,0.0,5,2019-07-19,Gizmo,61.0753,305.37649999999996
167,2019-11-15T18:06:11.298Z,24,200,0.0,3,2019-11-15,Gadget,48.8026,146.4078
168,2018-04-14T22:05:46.715Z,24,186,0.0,2,2018-04-14,Gizmo,65.9847,131.9694
169,2019-08-13T20:36:50.982Z,24,73,0.0,5,2019-08-13,Widget,47.7525,238.7625
170,2019-08-03T08:33:03.555Z,24,118,0.0,7,2019-08-03,Gadget,38.4184,268.92879999999997
171,2020-04-01T17:48:42.785Z,29,58,3.07972,3,2020-04-01,Gadget,52.0972,156.29160000000002
172,2020-02-17T12:53:40.048Z,29,152,0.0,2,2020-02-17,Widget,32.5971,65.1942
173,2018-10-22T18:56:58.539Z,29,91,0.0,7,2018-10-22,Gizmo,43.3962,303.7734
174,2020-04-09T12:03:00.755Z,29,190,3.07972,3,2020-04-09,Gadget,85.7228,257.1684
175,2019-01-30T10:19:21.084Z,29,58,0.0,2,2019-01-30,Gadget,52.0972,104.1944
176,2018-10-16T01:03:54.433Z,29,154,0.0,7,2018-10-16,Widget,54.5835,382.0845
177,2019-06-13T04:34:32.336Z,30,154,0.0,6,2019-06-13,Widget,54.5835,327.501
178,2019-05-27T05:53:31.905Z,30,37,0.0,5,2019-05-27,Gadget,53.4052,267.026
179,2019-07-21T15:27:05.546Z,32,75,0.0,6,2019-07-21,Gadget,83.8752,503.25120000000004
180,2019-02-25T04:03:09.148Z,32,75,0.0,2,2019-02-25,Gadget,83.8752,167.7504
181,2017-07-05T11:32:31.092Z,32,93,0.0,6,2017-07-05,Widget,33.2124,199.2744
182,2020-03-25T23:01:34.064Z,32,176,0.0,1,2020-03-25,Widget,38.6165,38.6165
183,2018-08-25T14:09:48.528Z,32,87,0.0,8,2018-08-25,Widget,78.1702,625.3616
184,2018-03-29T01:29:18.948Z,32,84,0.0,1,2018-03-29,Gizmo,54.5842,54.5842
185,2018-06-08T20:22:55.203Z,33,103,0.0,8,2018-06-08,Widget,31.3614,250.8912
186,2018-12-23T21:15:46.547Z,33,108,0.0,2,2018-12-23,Gadget,33.3966,66.7932
187,2019-07-18T00:58:53.862Z,34,17,0.0,5,2019-07-18,Doohickey,53.2907,266.4535
188,2019-04-26T00:15:50.792Z,34,86,3.54254,4,2019-04-26,Doohickey,61.5429,246.1716
189,2019-10-16T15:52:56.344Z,34,74,0.0,7,2019-10-16,Gadget,34.0854,238.5978
190,2019-12-16T16:03:36.571Z,34,54,0.0,2,2019-12-16,Widget,41.3957,82.7914
191,2019-11-22T02:47:01.230Z,34,22,0.0,2,2019-11-22,Gizmo,21.4245,42.849
192,2019-04-02T02:37:15.382Z,34,170,0.0,3,2019-04-02,Widget,70.0511,210.1533
193,2019-04-06T18:49:46.481Z,34,166,4.25946,3,2019-04-06,Doohickey,25.5363,76.6089
194,2018-01-28T20:48:50.015Z,34,89,8.75946,2,2018-01-28,Widget,42.4797,84.9594
195,2016-06-12T00:42:35.099Z,34,45,0.0,9,2016-06-12,Doohickey,78.6997,708.2973000000001
196,2017-11-05T11:07:50.232Z,35,79,0.0,3,2017-11-05,Gizmo,27.7446,83.2338
197,2019-09-30T12:06:29.945Z,35,108,0.0,4,2019-09-30,Gadget,33.3966,133.5864
198,2019-08-24T01:13:01.005Z,35,143,0.0,6,2019-08-24,Gizmo,40.7989,244.79340000000002
199,2019-05-08T08:36:37.424Z,35,186,0.0,4,2019-05-08,Gizmo,65.9847,263.9388
200,2018-06-30T04:17:27.188Z,35,75,0.0,5,2018-06-30,Gadget,83.8752,419.37600000000003
201,2018-03-30T20:23:19.326Z,36,72,0.0,1,2018-03-30,Widget,94.8025,94.8025
202,2018-01-25T16:05:23.868Z,36,60,0.0,2,2018-01-25,Doohickey,19.8681,39.7362
203,2017-08-17T18:17:48.717Z,36,171,0.0,6,2017-08-17,Doohickey,70.0511,420.3066
204,2019-05-03T02:44:34.940Z,36,151,0.0,4,2019-05-03,Gizmo,61.0753,244.3012
205,2018-12-23T06:21:19.583Z,36,141,0.0,2,2018-12-23,Doohickey,84.1354,168.2708
206,2018-06-22T06:02:43.700Z,36,25,0.0,7,2018-06-22,Widget,45.7484,320.23879999999997
207,2019-03-07T09:51:21.283Z,36,106,0.0,1,2019-03-07,Doohickey,35.149,35.149
208,2018-08-29T06:33:29.708Z,36,138,0.0,6,2018-08-29,Doohickey,75.9672,455.80320000000006
209,2019-01-05T00:03:51.181Z,36,189,0.0,2,2019-01-05,Widget,62.1849,124.3698
210,2017-05-13T15:57:41.168Z,37,46,0.0,6,2017-05-13,Gadget,78.6997,472.19820000000004
211,2019-11-09T01:30:22.135Z,37,178,0.0,4,2019-11-09,Widget,78.2198,312.8792
212,2017-10-22T01:27:38.969Z,37,111,0.0,6,2017-10-22,Gadget,37.0178,222.10680000000002
213,2017-07-31T17:23:30.923Z,37,150,0.0,4,2017-07-31,Gadget,85.7028,342.8112
214,2020-02-10T20:43:35.065Z,37,86,0.0,1,2020-02-10,Doohickey,61.5429,61.5429
215,2017-03-17T07:57:12.810Z,37,186,0.0,1,2017-03-17,Gizmo,65.9847,65.9847
216,2017-10-12T03:02:41.080Z,37,86,0.0,5,2017-10-12,Doohickey,61.5429,307.71450000000004
217,2017-04-08T07:32:20.298Z,37,99,0.0,2,2017-04-08,Gadget,45.2232,90.4464
218,2019-03-20T14:58:21.465Z,37,134,0.0,1,2019-03-20,Doohickey,28.3282,28.3282
219,2017-05-15T14:46:08.296Z,37,199,0.0,2,2017-05-15,Widget,76.9533,153.9066
220,2018-08-26T02:21:12.080Z,37,97,0.0,6,2018-08-26,Doohickey,74.9455,449.673
221,2020-02-18T08:30:53.428Z,37,129,0.0,1,2020-02-18,Gizmo,98.7782,98.7782
222,2019-03-19T18:21:54.714Z,37,99,2.47483,1,2019-03-19,Gadget,45.2232,45.2232
223,2018-03-06T11:47:28.486Z,37,128,0.0,1,2018-03-06,Gizmo,50.0534,50.0534
224,2017-08-16T14:56:15.036Z,37,116,0.0,8,2017-08-16,Gizmo,76.2832,610.2656
225,2018-11-11T21:14:13.900Z,38,84,3.1985,3,2018-11-11,Gizmo,54.5842,163.7526
226,2019-12-15T04:22:52.471Z,38,47,0.0,2,2019-12-15,Doohickey,56.0511,112.1022
227,2018-06-16T19:38:44.027Z,38,66,0.0,6,2018-06-16,Widget,90.7742,544.6451999999999
228,2017-04-17T15:21:09.465Z,38,182,0.0,3,2017-04-17,Gadget,56.3263,168.9789
229,2017-12-26T07:29:57.856Z,38,152,0.0,2,2017-12-26,Widget,32.5971,65.1942
230,2020-01-29T03:39:20.564Z,39,4,0.0,2,2020-01-29,Doohickey,73.9918,147.9836
231,2019-03-22T01:41:44.859Z,39,167,0.0,1,2019-03-22,Doohickey,65.1363,65.1363
232,2018-11-12T23:45:17.492Z,39,74,7.8542,2,2018-11-12,Gadget,34.0854,68.1708
233,2018-08-02T06:00:12.491Z,39,182,0.0,5,2018-08-02,Gadget,56.3263,281.6315
234,2018-11-13T21:41:19.636Z,39,34,0.0,2,2018-11-13,Gadget,49.5359,99.0718
235,2020-01-03T04:15:50.232Z,39,3,0.0,1,2020-01-03,Doohickey,35.3887,35.3887
236,2019-06-15T05:15:43.062Z,39,79,0.0,6,2019-06-15,Gizmo,27.7446,166.4676
237,2017-11-19T22:58:11.972Z,39,52,0.0,3,2017-11-19,Widget,69.1172,207.3516
238,2017-12-22T03:09:50.175Z,40,9,0.0,2,2017-12-22,Widget,58.3131,116.6262
239,2019-11-25T10:24:01.591Z,40,138,0.0,4,2019-11-25,Doohickey,75.9672,303.8688
240,2018-01-24T03:27:21.346Z,40,62,0.0,2,2018-01-24,Widget,89.0135,178.027
241,2017-10-05T03:52:29.098Z,40,175,0.0,7,2017-10-05,Doohickey,78.2165,547.5155
242,2017-05-03T05:44:12.070Z,40,49,0.0,4,2017-05-03,Gadget,87.6191,350.4764
243,2019-10-16T10:09:52.916Z,40,117,0.0,4,2019-10-16,Gizmo,36.6832,146.7328
244,2018-08-30T06:58:11.546Z,40,152,0.0,7,2018-08-30,Widget,32.5971,228.17969999999997
245,2019-10-21T16:56:04.968Z,40,130,0.0,7,2019-10-21,Gizmo,50.0172,350.1204
246,2017-12-13T19:28:29.469Z,40,75,3.43489,3,2017-12-13,Gadget,83.8752,251.62560000000002
247,2019-08-04T14:14:32.044Z,40,88,0.0,9,2019-08-04,Gizmo,70.2753,632.4777
248,2018-11-09T05:47:19.047Z,40,18,0.0,4,2018-11-09,Gadget,54.602,218.408
249,2019-10-03T20:34:21.626Z,40,107,0.0,7,2019-10-03,Gadget,33.3966,233.7762
250,2018-05-17T18:16:42.364Z,40,37,0.0,4,2018-05-17,Gadget,53.4052,213.6208
251,2018-07-25T06:15:19.179Z,40,121,0.0,4,2018-07-25,Doohickey,26.9635,107.854
252,2016-11-01T15:43:42.662Z,40,21,0.0,3,2016-11-01,Gadget,40.3833,121.1499
253,2018-01-23T08:10:09.200Z,40,197,0.0,2,2018-01-23,Gizmo,46.7641,93.5282
254,2019-08-16T11:44:56.790Z,40,129,0.0,5,2019-08-16,Gizmo,98.7782,493.89099999999996
255,2017-08-11T23:50:54.901Z,40,47,0.0,6,2017-08-11,Doohickey,56.0511,336.3066
256,2017-08-01T10:50:43.603Z,40,77,0.0,6,2017-08-01,Gadget,67.3446,404.06759999999997
257,2018-02-06T08:34:07.323Z,40,80,0.0,2,2018-02-06,Widget,36.6088,73.2176
258,2017-09-08T17:20:55.080Z,40,191,0.0,3,2017-09-08,Gadget,85.7228,257.1684
259,2018-11-10T20:53:54.978Z,40,73,0.0,1,2018-11-10,Widget,47.7525,47.7525
260,2017-09-09T16:40:11.602Z,40,55,0.0,2,2017-09-09,Gadget,63.8475,127.695
261,2019-08-26T21:10:14.407Z,40,115,1.36021,3,2019-08-26,Gadget,51.9413,155.82389999999998
262,2019-03-06T01:08:17.786Z,40,62,0.0,1,2019-03-06,Widget,89.0135,89.0135
263,2019-02-06T22:19:11.813Z,41,138,0.0,1,2019-02-06,Doohickey,75.9672,75.9672
264,2017-01-03T09:08:02.069Z,42,164,0.0,1,2017-01-03,Doohickey,61.9786,61.9786
265,2017-08-18T03:33:03.727Z,42,146,0.0,7,2017-08-18,Widget,84.0315,588.2204999999999
266,2019-07-17T17:51:09.590Z,42,22,0.0,5,2019-07-17,Gizmo,21.4245,107.12249999999999
267,2018-10-28T12:46:48.679Z,42,17,0.0,4,2018-10-28,Doohickey,53.2907,213.1628
268,2019-06-04T02:52:04.261Z,42,90,0.0,3,2019-06-04,Gizmo,82.0797,246.2391
269,2019-04-11T19:13:31.013Z,42,159,0.0,2,2019-04-11,Widget,23.6868,47.3736
